Internal_id,KRN,Population,accessionID,Genotype
Elite_2G1,15.1,Elite Inbred lines,PI601558,11430
Elite_3A1,13.7,Elite Inbred lines,PI601658,1538
Elite_1G3,14.2,Elite Inbred lines,PI601005,207
Elite_2G2,14.9,Elite Inbred lines,PI601559,2369
Elite_1D3,13.7,Elite Inbred lines,PI548830,29MIBZ2
Elite_3D1,15,Elite Inbred lines,PI601808,2FACC
Elite_2G3,14.1,Elite Inbred lines,PI601560,2MA22
Elite_2A9,13.9,Elite Inbred lines,PI601300,4676A
Elite_3B2,16.4,Elite Inbred lines,PI601745,4N506
Elite_2A1,12.6,Elite Inbred lines,PI601269,5707
Elite_1H1,15.8,Elite Inbred lines,PI601159,6103
Elite_1C1,14.3,Elite Inbred lines,PI546483,6F629
Elite_2G4,14.9,Elite Inbred lines,PI601561,6M502
Elite_1C2,16,Elite Inbred lines,PI546484,6M502A
Elite_2E11,10.4,Elite Inbred lines,PI601489,740
Elite_2C9,14.7,Elite Inbred lines,PI601374,764
Elite_2C10,14,Elite Inbred lines,PI601375,778
Elite_2C11,10.8,Elite Inbred lines,PI601376,779
Elite_2A10,15.1,Elite Inbred lines,PI601301,78002A
Elite_1H9,16.8,Elite Inbred lines,PI601210,78004
Elite_1H10,16.7,Elite Inbred lines,PI601211,78010
Elite_2D10,14.4,Elite Inbred lines,PI601438,78371A
Elite_2G5,11.7,Elite Inbred lines,PI601562,78551S
Elite_2E12,15.3,Elite Inbred lines,PI601490,787
Elite_2F1,15,Elite Inbred lines,PI601491,790
Elite_1A1,15.8,Elite Inbred lines,NSL243016,792
Elite_2F2,15.2,Elite Inbred lines,PI601492,793
Elite_2D1,13.8,Elite Inbred lines,PI601377,794
Elite_2D9,13.2,Elite Inbred lines,PI601430,807
Elite_1D11,14,Elite Inbred lines,PI555651,83IBI3
Elite_2G6,15.4,Elite Inbred lines,PI601563,87916W
Elite_1E9,16,Elite Inbred lines,PI560317,904
Elite_1G7,13.1,Elite Inbred lines,PI601009,B47
Elite_1A12,17.1,Elite Inbred lines,B73,B73
Elite_1B10,12.6,Elite Inbred lines,PI544065,BCC03
Elite_1G5,12.6,Elite Inbred lines,PI601007,BO9
Elite_3A2,13.1,Elite Inbred lines,PI601683,CR14
Elite_1G11,12.9,Elite Inbred lines,PI601080,CR1HT
Elite_1H6,17.4,Elite Inbred lines,PI601191,DJ7
Elite_3A7,12.6,Elite Inbred lines,PI601724,E8501
Elite_1C12,10.8,Elite Inbred lines,F1,F1
Elite_1D9,16.7,Elite Inbred lines,PI555462,F118
Elite_1G8,15.8,Elite Inbred lines,PI601026,F42
Elite_1F10,15.1,Elite Inbred lines,PI600958,FAPW
Elite_2D11,12,Elite Inbred lines,PI601439,FBHJ
Elite_1B11,15.3,Elite Inbred lines,PI546482,FBLA
Elite_1F3,15.6,Elite Inbred lines,PI600772,FR19
